feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,class
0,2,32,1,6,72,8,2,3,5,3,12,1,9,0,128,3,0,0,1,2,11,17,13,8,1,5,9,25,1,13,128,2,0,1,1,2,4,6,2,0,0,3,0,1,9,28,3,6,5,2,0,13,10,2,0,10,5,18,216,0,2,0,0,0
5,4,2,0,2,2,5,76,2,3,2,0,11,8,2,5,2,0,2,0,0,2,1,16,0,2,1,0,11,0,18,104,1,1,0,0,0,0,11,2,1,0,0,7,1,11,52,3,2,0,0,98,0,4,0,5,0,42,1,46,3,1,1,56,0
4,0,2,2,0,2,3,12,59,84,1,2,0,3,6,82,91,0,2,2,2,0,1,0,100,0,2,2,3,69,4,4,2,0,0,0,0,3,5,36,3,0,0,2,0,0,3,0,1,1,1,0,0,0,0,0,24,0,2,1,7,5,19,9,0
0,11,57,1,3,51,0,6,0,1,53,2,2,78,1,107,0,2,2,3,2,1,123,24,18,83,0,1,8,42,4,43,0,2,3,7,4,3,16,106,2,2,2,6,5,2,19,93,8,2,0,1,0,3,13,150,0,3,1,0,2,1,7,2,1
1,1,4,0,0,51,28,5,2,0,1,1,62,3,10,122,0,1,5,36,2,77,99,0,12,19,4,30,16,12,22,156,4,19,37,103,80,6,4,242,0,0,10,14,56,0,29,0,6,0,6,0,5,58,1,128,110,32,1,5,79,0,3,70,1
1,0,0,5,3,45,45,2,0,3,0,38,9,1,2,51,4,50,18,1,4,8,13,14,1,1,0,2,3,66,63,48,38,18,0,7,62,20,71,18,5,55,4,18,1,30,102,0,0,2,24,1,2,12,2,2,4,4,2,4,54,0,3,3,1
