feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,class
0,152,206,93,8,119,38,155,198,62,59,0,77,239,96,18,85,28,0,96,54,23,0,0,111,19,14,122,49,2,0,0,50,42,1,59,128,31,0,0,22,85,33,1,46,122,26,1,0,6,76,58,3,6,54,47,0,1,1,34,91,8,2,51,0
4,2,96,2,0,0,22,0,0,188,38,0,0,14,204,22,255,77,0,41,41,144,7,245,104,2,67,15,1,0,44,103,9,0,4,66,0,0,90,19,0,0,33,74,9,216,50,0,32,118,97,0,247,82,0,1,88,60,24,227,105,4,0,0,1
0,31,103,11,0,8,59,99,4,91,13,5,1,39,0,95,148,53,1,18,17,0,2,138,98,1,21,22,0,4,202,54,0,10,15,0,0,243,71,0,22,12,0,2,253,86,2,0,18,9,0,227,102,2,0,0,48,18,205,113,3,0,0,0,0
26,0,0,0,0,100,125,10,1,0,0,0,12,73,128,32,0,0,0,168,36,73,128,43,0,0,0,125,20,18,116,52,0,0,217,96,64,0,49,83,0,199,87,155,84,79,111,113,114,80,24,85,102,70,54,111,45,51,52,128,128,65,14,96,0
0,191,21,0,11,86,33,0,153,8,0,0,97,2,0,0,0,0,0,95,1,0,0,106,0,0,101,0,0,0,108,73,0,109,0,0,0,102,17,242,100,0,17,6,95,12,165,33,15,0,93,21,98,245,46,0,0,101,0,0,38,6,0,0,0
112,7,0,0,52,100,0,146,215,96,0,142,35,23,86,24,0,76,157,56,216,87,0,54,137,0,94,96,16,0,1,35,0,43,41,0,0,0,209,58,106,41,0,0,0,26,128,8,54,13,37,0,0,0,38,119,0,17,37,25,1,0,0,1,1
1,119,0,106,3,0,0,162,85,0,109,6,0,1,78,88,0,100,10,0,0,0,50,15,78,26,0,0,0,176,37,0,47,0,0,0,222,64,1,0,0,0,1,123,91,0,1,0,0,16,97,106,11,0,0,197,0,129,29,62,27,0,1,83,0
43,189,1,3,4,6,33,68,0,0,0,29,15,4,79,0,0,0,103,0,91,213,3,26,0,98,0,249,167,1,39,102,103,0,94,216,112,6,105,0,0,104,50,181,30,2,0,0,1,43,169,0,7,3,0,0,55,69,0,0,0,0,0,0,1
92,73,18,0,0,0,0,183,27,11,128,17,5,68,65,97,0,81,127,38,67,192,45,36,234,87,0,75,193,0,24,191,32,0,23,163,3,33,93,48,0,34,86,25,178,95,21,0,92,47,65,187,66,1,0,0,81,0,52,28,0,0,0,0,1
114,191,50,1,0,0,0,92,40,0,119,100,1,49,160,1,233,98,2,87,181,0,31,204,1,10,181,16,87,213,74,1,50,51,0,99,58,2,0,0,22,112,129,32,0,0,0,0,0,2,80,80,39,2,0,0,0,0,0,20,26,56,3,0,0
0,0,0,0,0,46,10,57,22,49,0,15,178,41,37,100,76,21,23,62,10,14,92,0,2,43,12,64,12,98,0,0,0,69,25,31,0,0,0,25,126,22,8,0,0,0,58,150,26,15,113,0,0,72,163,1,0,6,8,51,1,0,0,0,1
102,2,0,4,38,1,0,71,0,96,27,0,99,0,9,200,7,78,21,104,0,64,203,0,33,3,103,115,88,20,0,129,0,116,14,63,0,86,95,1,121,82,66,0,235,154,14,40,186,105,0,229,34,97,33,4,13,0,247,58,128,21,0,93,1
0,15,0,197,23,0,198,70,1,0,208,83,9,0,99,0,2,25,101,0,0,212,22,0,0,91,0,1,20,94,0,0,243,0,1,0,105,2,0,27,76,5,0,107,9,0,8,183,33,0,99,9,0,6,8,100,21,224,36,0,7,0,108,1,0
0,0,0,2,125,0,1,6,0,0,0,202,0,0,61,6,0,0,112,0,36,73,0,1,5,43,0,0,5,4,4,4,0,0,0,14,6,66,238,0,0,7,56,12,111,166,1,3,0,93,12,106,4,4,0,2,45,2,79,4,19,69,0,153,1
111,1,60,0,41,9,0,128,0,1,0,87,1,84,30,11,1,12,0,104,40,3,86,15,29,68,89,24,95,5,32,122,0,0,0,0,0,12,68,26,0,0,2,0,0,0,0,50,0,9,9,0,0,0,0,0,20,149,0,0,0,0,0,0,1
37,0,0,12,128,87,33,128,54,54,25,0,2,128,17,67,132,61,129,87,14,12,85,63,7,118,128,90,16,23,13,34,0,13,34,1,50,128,12,120,21,0,114,94,134,17,108,105,3,93,14,89,5,1,125,60,3,3,0,1,39,86,135,22,1
